# ecldata4a.ecl
sha256: 797c83391c77d386abd264249224821be3d878fcf73b2bd71189dbfd3776f6cf
header: subroutines=61 timelines=2 data_end=0x0000c2bc

## timeline 0 [0x0000a2b4, 0x0000bafc)
0x0000a2b4 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=15 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000a434 t=   660 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a454 t=   670 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a474 t=   680 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a494 t=   690 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a4b4 t=   700 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a4d4 t=   700 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000a4f4 t=   760 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a514 t=   770 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a534 t=   780 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a554 t=   790 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a574 t=   800 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a594 t=   920 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a5b4 t=   920 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(256,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000a5d4 t=   930 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a5f4 t=   940 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a614 t=   950 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a634 t=   960 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a654 t=   980 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a674 t=   990 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a694 t=  1000 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a6b4 t=  1010 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a6d4 t=  1020 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a6f4 t=  1030 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a714 t=  1040 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a734 t=  1050 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a754 t=  1060 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a774 t=  1070 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a794 t=  1080 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a7b4 t=  1090 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a7d4 t=  1100 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a7f4 t=  1110 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a814 t=  1120 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a834 t=  1240 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000a854 t=  1500 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000a874 t=  1600 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000a880 t=  1900 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000a8a0 t=  2000 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000a8ac t=  2300 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000a8cc t=  2300 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000a8ec t=  2700 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a90c t=  2710 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a92c t=  2720 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a94c t=  2730 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a96c t=  2740 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a98c t=  2740 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000a9ac t=  2800 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000a9cc t=  2810 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000a9ec t=  2820 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000aa0c t=  2830 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000aa2c t=  2840 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000aa4c t=  2840 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000aa6c t=  2900 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000aa8c t=  2910 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000aaac t=  2920 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000aacc t=  2930 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000aaec t=  2940 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ab0c t=  2940 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000ab2c t=  3000 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ab4c t=  3010 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ab6c t=  3020 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ab8c t=  3030 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000abac t=  3040 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000abcc t=  3240 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000abec t=  3250 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ac0c t=  3260 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ac2c t=  3270 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ac4c t=  3280 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ac6c t=  3280 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000ac8c t=  3330 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000acac t=  3340 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000accc t=  3350 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000acec t=  3360 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ad0c t=  3370 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ad2c t=  3420 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ad4c t=  3430 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ad6c t=  3440 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ad8c t=  3450 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000adac t=  3460 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000adcc t=  3560 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000adec t=  3660 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000ae0c t=  3810 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000ae2c t=  3860 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000ae4c t=  4060 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
0x0000ae6c t=  4060 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
0x0000ae8c t=  4260 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000aeac t=  4270 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000aecc t=  4280 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000aeec t=  4290 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000af0c t=  4300 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000af2c t=  4310 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000af4c t=  4320 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000af6c t=  4330 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000af8c t=  4340 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000afac t=  4350 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000afcc t=  4360 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000afec t=  4370 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b00c t=  4380 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b02c t=  4390 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b04c t=  4400 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b06c t=  4410 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b08c t=  4420 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b0ac t=  4430 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b0cc t=  4440 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b0ec t=  4450 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b10c t=  4460 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b12c t=  4470 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b14c t=  4480 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b16c t=  4490 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b18c t=  4500 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b1ac t=  4510 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b1cc t=  4520 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b1ec t=  4530 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b20c t=  4540 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b22c t=  4550 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b24c t=  4552 op=0x00 size=32 diff=0xff  spawn_enemy sub=14 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b26c t=  4962 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000000(s=0,f=0)]
0x0000b278 t=  4962 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b280 t=  4962 op=0x00 size=32 diff=0xff  spawn_enemy sub=16 pos=(192,-16) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000b2a0 t=  4963 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b2a8 t=  4963 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x0000b2b8 t=  4963 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b2c4 t=  4963 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000002(s=2,f=2.802597e-45)]
0x0000b2d0 t=  4963 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b2d8 t=  4963 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b2f8 t=  4973 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b318 t=  4983 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b338 t=  4993 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b358 t=  5003 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b378 t=  5063 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b398 t=  5073 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b3b8 t=  5083 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b3d8 t=  5093 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b3f8 t=  5103 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b418 t=  5103 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b438 t=  5163 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b458 t=  5173 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b478 t=  5183 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b498 t=  5193 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b4b8 t=  5203 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b4d8 t=  5203 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b4f8 t=  5263 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b518 t=  5273 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b538 t=  5283 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b558 t=  5293 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b578 t=  5303 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b598 t=  5423 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000b5a4 t=  5423 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000b5c4 t=  5663 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(288,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000b5e4 t=  5783 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000b604 t=  5783 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000b610 t=  5903 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(96,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000b630 t=  6103 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b650 t=  6113 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b670 t=  6123 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b690 t=  6133 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b6b0 t=  6143 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b6d0 t=  6153 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b6f0 t=  6163 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b710 t=  6173 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b730 t=  6183 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000b750 t=  6193 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000b770 t=  6313 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
0x0000b790 t=  6313 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
