# ecldata4b.ecl
sha256: aa4c1d45accc12faa9fab021f3ba6a19f668e1edeaafcad04293483d4b18bcc6
header: subroutines=78 timelines=2 data_end=0x0000e540

## timeline 0 [0x0000c538, 0x0000dd80)
0x0000c538 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=15 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000c8b8 t=   960 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c8d8 t=   980 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c8f8 t=   990 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c918 t=  1000 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c938 t=  1010 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c958 t=  1020 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c978 t=  1030 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c998 t=  1040 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c9b8 t=  1050 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000c9d8 t=  1060 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000c9f8 t=  1070 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ca18 t=  1080 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ca38 t=  1090 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ca58 t=  1100 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ca78 t=  1110 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ca98 t=  1120 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cab8 t=  1240 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000cad8 t=  1500 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000caf8 t=  1600 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000cb04 t=  1900 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000cb24 t=  2000 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000cb30 t=  2300 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000cb50 t=  2300 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000cb70 t=  2700 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cb90 t=  2710 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cbb0 t=  2720 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cbd0 t=  2730 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cbf0 t=  2740 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cc10 t=  2740 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000cc30 t=  2800 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cc50 t=  2810 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cc70 t=  2820 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cc90 t=  2830 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ccb0 t=  2840 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ccd0 t=  2840 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000ccf0 t=  2900 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cd10 t=  2910 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cd30 t=  2920 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cd50 t=  2930 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cd70 t=  2940 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cd90 t=  2940 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000cdb0 t=  3000 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cdd0 t=  3010 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cdf0 t=  3020 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ce10 t=  3030 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ce30 t=  3040 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ce50 t=  3240 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ce70 t=  3250 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ce90 t=  3260 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000ceb0 t=  3270 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000ced0 t=  3280 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cef0 t=  3280 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000cf10 t=  3330 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cf30 t=  3340 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cf50 t=  3350 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cf70 t=  3360 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cf90 t=  3370 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cfb0 t=  3420 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000cfd0 t=  3430 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000cff0 t=  3440 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d010 t=  3450 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d030 t=  3460 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d050 t=  3560 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000d070 t=  3660 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000d090 t=  3810 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000d0b0 t=  3860 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0xfffffffe, 0x000003e8]
0x0000d0d0 t=  4060 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
0x0000d0f0 t=  4060 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
0x0000d110 t=  4260 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d130 t=  4270 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d150 t=  4280 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d170 t=  4290 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d190 t=  4300 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d1b0 t=  4310 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d1d0 t=  4320 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d1f0 t=  4330 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d210 t=  4340 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d230 t=  4350 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d250 t=  4360 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d270 t=  4370 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d290 t=  4380 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d2b0 t=  4390 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d2d0 t=  4400 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d2f0 t=  4410 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d310 t=  4420 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d330 t=  4430 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d350 t=  4440 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d370 t=  4450 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d390 t=  4460 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d3b0 t=  4470 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d3d0 t=  4480 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d3f0 t=  4490 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d410 t=  4500 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d430 t=  4510 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d450 t=  4520 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d470 t=  4530 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d490 t=  4540 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d4b0 t=  4550 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d4d0 t=  4552 op=0x00 size=32 diff=0xff  spawn_enemy sub=14 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d4f0 t=  4962 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000000(s=0,f=0)]
0x0000d4fc t=  4962 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000d504 t=  4962 op=0x00 size=32 diff=0xff  spawn_enemy sub=16 pos=(192,-16) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000d524 t=  4963 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000d52c t=  4963 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x0000d53c t=  4963 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000d548 t=  4963 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000002(s=2,f=2.802597e-45)]
0x0000d554 t=  4963 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000d55c t=  4963 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d57c t=  4973 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d59c t=  4983 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d5bc t=  4993 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d5dc t=  5003 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d5fc t=  5063 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d61c t=  5073 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d63c t=  5083 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d65c t=  5093 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d67c t=  5103 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d69c t=  5103 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000d6bc t=  5163 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d6dc t=  5173 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d6fc t=  5183 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d71c t=  5193 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d73c t=  5203 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(-16,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d75c t=  5203 op=0x00 size=32 diff=0xff  spawn_enemy sub=5 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000d77c t=  5263 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,96) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d79c t=  5273 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,88) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d7bc t=  5283 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,80) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d7dc t=  5293 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,72) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d7fc t=  5303 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(400,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d81c t=  5423 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000d828 t=  5423 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000d848 t=  5663 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(288,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000d868 t=  5783 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000d888 t=  5783 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000000(s=0,f=0)]
0x0000d894 t=  5903 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(96,-16) rest=[0x000006a4, 0xfffffffe, 0x000003e8]
0x0000d8b4 t=  6103 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d8d4 t=  6113 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d8f4 t=  6123 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d914 t=  6133 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d934 t=  6143 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=12 pos=(400,112) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d954 t=  6153 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d974 t=  6163 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d994 t=  6173 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d9b4 t=  6183 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000000, 0x000003e8]
0x0000d9d4 t=  6193 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(-16,64) rest=[0x0000001e, 0x00000001, 0x000003e8]
0x0000d9f4 t=  6313 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
0x0000da14 t=  6313 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x00000514, 0x00000003, 0x000003e8]
