# ecldata3.ecl
sha256: 113e52b73dfdd94408b99dd7646ac973554cef76f1b7bd6686a773da6e974ce8
header: subroutines=78 timelines=4 data_end=0x0000c440

## timeline 0 [0x0000b238, 0x0000b91c)
0x0000b238 t=     1 op=0x00 size=32 diff=0xff  spawn_enemy sub=19 pos=(30,-16) rest=[0x00000014, 0xfffffffe, 0x000003e8]
0x0000b454 t=  1730 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b474 t=  1730 op=0x01 size=32 diff=0xf8  spawn_enemy_variant sub=0 pos=(256,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b494 t=  1930 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b4a0 t=  1950 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x0000015e, 0xfffffffe, 0x000003e8]
0x0000b4c0 t=  1970 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x0000015e, 0xfffffffe, 0x000003e8]
0x0000b4e0 t=  1990 op=0x00 size=32 diff=0xff  spawn_enemy sub=7 pos=(64,-16) rest=[0x0000015e, 0xfffffffe, 0x000003e8]
0x0000b500 t=  2010 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x0000015e, 0xfffffffe, 0x000003e8]
0x0000b520 t=  2010 op=0x00 size=32 diff=0xfc  spawn_enemy sub=0 pos=(32,-16) rest=[0x00000190, 0xfffffffe, 0x000003e8]
0x0000b540 t=  2010 op=0x01 size=32 diff=0xfc  spawn_enemy_variant sub=0 pos=(352,-16) rest=[0x00000190, 0xfffffffe, 0x000003e8]
0x0000b560 t=  2190 op=0x00 size=32 diff=0xff  spawn_enemy sub=14 pos=(320,-16) rest=[0x00000258, 0xfffffffe, 0x000003e8]
0x0000b580 t=  2290 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000002(s=2,f=2.802597e-45)]
0x0000b58c t=  2430 op=0x00 size=32 diff=0xff  spawn_enemy sub=13 pos=(64,-16) rest=[0x00000258, 0xfffffffe, 0x000003e8]
0x0000b5ac t=  2530 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000002(s=2,f=2.802597e-45)]
0x0000b5b8 t=  2680 op=0x00 size=32 diff=0xff  spawn_enemy sub=14 pos=(320,-16) rest=[0x00000258, 0xfffffffe, 0x000003e8]
0x0000b5d8 t=  3080 op=0x00 size=32 diff=0xff  spawn_enemy sub=20 pos=(192,-16) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000b5f8 t=  3080 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b604 t=  3080 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000002(s=2,f=2.802597e-45)]
0x0000b610 t=  3081 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b618 t=  3081 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x0000b628 t=  3082 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b634 t=  3082 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000003(s=3,f=4.203895e-45)]
0x0000b640 t=  3083 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b648 t=  3083 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x0000b658 t=  3083 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b664 t=  3163 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(64,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b684 t=  3183 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(96,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b6a4 t=  3203 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(128,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b6c4 t=  3203 op=0x01 size=32 diff=0xf8  spawn_enemy_variant sub=7 pos=(320,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b6e4 t=  3223 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(160,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b704 t=  3243 op=0x00 size=32 diff=0xff  spawn_enemy sub=0 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b724 t=  3243 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b730 t=  3423 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(320,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b750 t=  3443 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(288,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b770 t=  3463 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(256,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b790 t=  3463 op=0x00 size=32 diff=0xfc  spawn_enemy sub=7 pos=(64,-16) rest=[0x0000012c, 0xfffffffe, 0x000003e8]
0x0000b7b0 t=  3483 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(224,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b7d0 t=  3503 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=0 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b7f0 t=  3603 op=0x0e size=12 diff=0xff  publish_marker args=[0x00000002(s=2,f=2.802597e-45)]
0x0000b7fc t=  3723 op=0x00 size=32 diff=0xff  spawn_enemy sub=13 pos=(64,-16) rest=[0x00000258, 0xfffffffe, 0x000003e8]
0x0000b81c t=  3843 op=0x00 size=32 diff=0xff  spawn_enemy sub=14 pos=(320,-16) rest=[0x00000258, 0xfffffffe, 0x000003e8]
0x0000b83c t=  4163 op=0x00 size=32 diff=0xff  spawn_enemy sub=13 pos=(128,-16) rest=[0x000001f4, 0x00000002, 0x000003e8]
0x0000b85c t=  4163 op=0x00 size=32 diff=0xff  spawn_enemy sub=14 pos=(256,-16) rest=[0x000001f4, 0x00000003, 0x000003e8]
0x0000b87c t=  4663 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(192,-16) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000b89c t=  4663 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000000(s=0,f=0)]
0x0000b8a8 t=  4663 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b8b0 t=  4663 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x0000b8c0 t=  4663 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b8cc t=  4663 op=0x00 size=32 diff=0xfe  spawn_enemy sub=43 pos=(192,128) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000b8ec t=  4664 op=0x0a size=12 diff=0xfe  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b8f8 t=  4664 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b904 t=  4664 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b90c stop (negative time); 16 bytes remain in timeline region

## timeline 1 [0x0000b91c, 0x0000bb74)
0x0000b91c t=    20 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b928 t=    20 op=0x00 size=32 diff=0xff  spawn_enemy sub=2 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b948 t=    80 op=0x00 size=32 diff=0xff  spawn_enemy sub=4 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b968 t=   140 op=0x00 size=32 diff=0xff  spawn_enemy sub=2 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b988 t=   140 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000b994 t=   140 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(64,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b9b4 t=   140 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(256,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b9d4 t=   200 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(256,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000b9f4 t=   200 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(64,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000ba14 t=   200 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000ba20 t=   200 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(128,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000ba40 t=   260 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(128,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000ba60 t=   260 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000ba6c t=   260 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000ba8c t=   320 op=0x00 size=32 diff=0xff  spawn_enemy sub=12 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000baac t=   380 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(192,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000bacc t=   380 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000bad8 t=   380 op=0x00 size=32 diff=0xff  spawn_enemy sub=2 pos=(256,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000baf8 t=   440 op=0x00 size=32 diff=0xff  spawn_enemy sub=4 pos=(256,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000bb18 t=   440 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000001(s=1,f=1.401298e-45)]
0x0000bb24 t=   440 op=0x00 size=32 diff=0xff  spawn_enemy sub=2 pos=(64,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000bb44 t=   500 op=0x00 size=32 diff=0xff  spawn_enemy sub=4 pos=(64,-16) rest=[0x000000c8, 0xfffffffe, 0x000003e8]
0x0000bb64 stop (negative time); 16 bytes remain in timeline region

## timeline 2 [0x0000bb74, 0x0000c0ac)
0x0000bb74 t=    20 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000000(s=0,f=0)]
0x0000bb80 t=    20 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(32,96) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bba4 t=    35 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(32,96) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bbc8 t=    50 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(64,128) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bbec t=    65 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(64,128) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bc10 t=    80 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(96,160) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bc34 t=    95 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(96,160) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bc58 t=   110 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(128,192) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bc7c t=   125 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(128,192) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bca0 t=   140 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(160,224) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bcc4 t=   155 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(160,224) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bce8 t=   170 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(192,256) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bd0c t=   185 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(192,256) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bd30 t=   200 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(224,288) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bd54 t=   215 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(224,288) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bd78 t=   230 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(256,320) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bd9c t=   245 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(256,320) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bdc0 t=   260 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(288,352) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bde4 t=   275 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(288,352) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000be08 t=   290 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000000(s=0,f=0)]
0x0000be14 t=   290 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(288,352) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000be38 t=   305 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(288,352) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000be5c t=   320 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(256,320) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000be80 t=   335 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(256,320) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bea4 t=   350 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(224,288) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bec8 t=   365 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(224,288) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000beec t=   380 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(192,256) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bf10 t=   395 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(192,256) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bf34 t=   410 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(160,224) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bf58 t=   425 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(160,224) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bf7c t=   440 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(128,192) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bfa0 t=   455 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(128,192) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bfc4 t=   470 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(96,160) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000bfe8 t=   485 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(96,160) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000c00c t=   500 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(64,128) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000c030 t=   515 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(64,128) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000c054 t=   530 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(32,96) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000c078 t=   545 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=18 x_range=(32,96) y=-16 rest=[0x0000000a, 0xffffffff, 0x000003e8]
0x0000c09c stop (negative time); 16 bytes remain in timeline region

## timeline 3 [0x0000c0ac, 0x0000c440)
0x0000c0ac t=    20 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000002(s=2,f=2.802597e-45)]
0x0000c0b8 t=    20 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c0dc t=    30 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c100 t=    40 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000000, 0x000003e8]
0x0000c124 t=    50 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000000, 0x000003e8]
0x0000c148 t=    60 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c16c t=    70 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c190 t=    80 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c1b4 t=    90 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,192) y=-16 rest=[0x0000000a, 0x00000002, 0x000003e8]
0x0000c1d8 t=    90 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000002(s=2,f=2.802597e-45)]
0x0000c1e4 t=    90 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c208 t=   100 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c22c t=   110 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000000, 0x000003e8]
0x0000c250 t=   120 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000000, 0x000003e8]
0x0000c274 t=   130 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c298 t=   140 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c2bc t=   150 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c2e0 t=   160 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(192,368) y=-16 rest=[0x0000000a, 0x00000002, 0x000003e8]
0x0000c304 t=   160 op=0x0d size=12 diff=0xff  wait_marker args=[0x00000002(s=2,f=2.802597e-45)]
0x0000c310 t=   160 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c334 t=   170 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c358 t=   180 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000000, 0x000003e8]
0x0000c37c t=   190 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000000, 0x000003e8]
0x0000c3a0 t=   200 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c3c4 t=   210 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c3e8 t=   220 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000001, 0x000003e8]
0x0000c40c t=   230 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=17 x_range=(16,368) y=-16 rest=[0x0000000a, 0x00000002, 0x000003e8]
0x0000c430 stop (negative time); 16 bytes remain in timeline region

## sub 0 [0x00000180, 0x00000598)
0x00000180 t=     0 op=0x0036 size=16 b08=0x00 diff=0xff pmask=0x0000  set_primary_animation args=[0x00000000(s=0,f=0)]
0x00000190 t=     0 op=0x0039 size=20 b08=0x00 diff=0xff pmask=0x0000  set_secondary_animation args=[0x00000000(s=0,f=0), 0x00000030(s=48,f=6.726233e-44)]
0x000001a4 t=     0 op=0x004d size=20 b08=0x00 diff=0xff pmask=0x0000  set_hitbox args=[0x41c00000(s=1103101952,f=24), 0x41c00000(s=1103101952,f=24)]
0x000001b8 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000002(s=2,f=2.802597e-45)]
0x000001c8 t=     0 op=0x0090 size=20 b08=0x00 diff=0xff pmask=0x0000  set_drop_counts args=[0x00000003(s=3,f=4.203895e-45), 0x00000002(s=2,f=2.802597e-45)]
0x000001dc t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x0000001e(s=30,f=4.203895e-44)]
0x000001ec t=     0 op=0x0042 size=28 b08=0x00 diff=0xff pmask=0x0000  set_velocity_polar_timed args=[0x00000032(s=50,f=7.006492e-44), 0x00000004(s=4,f=5.605194e-45), 0x3fc90fdb(s=1070141403,f=1.570796), 0x40200000(s=1075838976,f=2.5)]
0x00000208 t=     0 op=0x0087 size=20 b08=0x00 diff=0xff pmask=0x0000  start_interrupt_subroutine args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x0000021c t=     0 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002735(s=10037,f=1.406483e-41), 0x00000003(s=3,f=4.203895e-45)]
0x00000230 t=    65 op=0x0006 size=20 b08=0x00 diff=0xff pmask=0x0001  set_int args=[0x00002734(s=10036,f=1.406343e-41), 0x00000008(s=8,f=1.121039e-44)]
