# ecldata5.ecl
sha256: 3148f45faf78bd8211a956edcdc353be73d2781995d3dadd36bdca8132f8fe19
header: subroutines=90 timelines=1 data_end=0x0000b878

## timeline 0 [0x0000a674, 0x0000b878)
0x0000a674 t=   260 op=0x00 size=32 diff=0xff  spawn_enemy sub=2 pos=(192,-16) rest=[0x000002bc, 0xfffffffe, 0x000003e8]
0x0000abf8 t=  2050 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ac1c t=  2060 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ac40 t=  2070 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ac64 t=  2080 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ac88 t=  2080 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000aca8 t=  2270 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000accc t=  2280 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000acf0 t=  2290 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ad14 t=  2300 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ad38 t=  2310 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ad5c t=  2310 op=0x00 size=32 diff=0xff  spawn_enemy sub=36 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000ad7c t=  2500 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ada0 t=  2510 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000adc4 t=  2520 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ade8 t=  2530 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ae0c t=  2540 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=128 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ae30 t=  2550 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=128 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000ae54 t=  2560 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=160 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ae78 t=  2570 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=160 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000ae9c t=  2580 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=192 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000aec0 t=  2590 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=192 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000aee4 t=  2600 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=224 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000af08 t=  2610 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=224 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000af2c t=  2620 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=256 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000af50 t=  2630 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=256 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000af74 t=  2640 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=29 x_range=(336,192) y=288 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000af98 t=  2650 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=29 x_range=(48,192) y=288 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000afbc t=  2790 op=0x00 size=32 diff=0xff  spawn_enemy sub=33 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000afdc t=  3050 op=0x00 size=32 diff=0xff  spawn_enemy sub=9 pos=(192,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000affc t=  3290 op=0x00 size=32 diff=0xff  spawn_enemy sub=9 pos=(64,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000b01c t=  3530 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=9 pos=(320,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000b03c t=  3770 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(192,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000b05c t=  3970 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=10 pos=(320,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000b07c t=  4170 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(64,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000b09c t=  4470 op=0x00 size=32 diff=0xff  spawn_enemy sub=33 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b0bc t=  4530 op=0x00 size=32 diff=0xff  spawn_enemy sub=38 pos=(192,-16) rest=[0x00003a98, 0x00000001, 0x000003e8]
0x0000b0dc t=  4531 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b0e8 t=  4711 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b10c t=  4721 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b130 t=  4731 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b154 t=  4741 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b178 t=  4751 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b19c t=  4761 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=192 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b1c0 t=  4771 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=224 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b1e4 t=  4781 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=256 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b208 t=  4781 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b228 t=  4981 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b24c t=  4991 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b270 t=  5001 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b294 t=  5011 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b2b8 t=  5021 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b2dc t=  5031 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=192 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b300 t=  5041 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=224 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b324 t=  5051 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=256 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b348 t=  5051 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b368 t=  5051 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=34 pos=(256,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b388 t=  5251 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b3ac t=  5261 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b3d0 t=  5271 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b3f4 t=  5281 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b418 t=  5291 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b43c t=  5301 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=192 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b460 t=  5311 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=224 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b484 t=  5321 op=0x02 size=36 diff=0xff  spawn_enemy_random_x_range sub=31 x_range=(48,160) y=256 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b4a8 t=  5321 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b4c8 t=  5321 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=34 pos=(256,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b4e8 t=  5521 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=32 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b50c t=  5531 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=64 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b530 t=  5541 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=96 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b554 t=  5551 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=128 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b578 t=  5561 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=160 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b59c t=  5571 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=192 rest=[0x000000c8, 0x00000001, 0x000003e8]
0x0000b5c0 t=  5581 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=224 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b5e4 t=  5591 op=0x04 size=36 diff=0xff  spawn_enemy_random_x_range_variant sub=31 x_range=(336,160) y=256 rest=[0x000000c8, 0x00000000, 0x000003e8]
0x0000b608 t=  5591 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(96,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b628 t=  5591 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=34 pos=(288,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b648 t=  6031 op=0x00 size=32 diff=0xff  spawn_enemy sub=15 pos=(192,-16) rest=[0x00000bb8, 0xfffffffe, 0x000003e8]
0x0000b668 t=  6131 op=0x00 size=32 diff=0xff  spawn_enemy sub=34 pos=(128,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b688 t=  6131 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=36 pos=(256,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b6a8 t=  6531 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=10 pos=(320,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000b6c8 t=  6531 op=0x00 size=32 diff=0xff  spawn_enemy sub=36 pos=(96,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b6e8 t=  6531 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=34 pos=(288,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b708 t=  6631 op=0x00 size=32 diff=0xff  spawn_enemy sub=10 pos=(64,-16) rest=[0x00000578, 0xfffffffe, 0x000003e8]
0x0000b728 t=  6931 op=0x00 size=32 diff=0xff  spawn_enemy sub=22 pos=(224,-16) rest=[0x000005dc, 0x00000003, 0x000003e8]
0x0000b748 t=  6931 op=0x00 size=32 diff=0xff  spawn_enemy sub=22 pos=(160,-16) rest=[0x000005dc, 0x00000003, 0x000003e8]
0x0000b768 t=  6931 op=0x01 size=32 diff=0xff  spawn_enemy_variant sub=34 pos=(192,-16) rest=[0x000001f4, 0x00000001, 0x000003e8]
0x0000b788 t=  7481 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x00000000(s=0,f=0)]
0x0000b794 t=  7481 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b79c t=  7481 op=0x00 size=32 diff=0xff  spawn_enemy sub=48 pos=(192,-16) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000b7bc t=  7482 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b7c4 t=  7482 op=0x0f size=32 diff=0xff  spawn_enemy_opcode_0f sub=49 pos=(192,-16) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000b7e4 t=  7483 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b7ec t=  7483 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000001(s=1,f=1.401298e-45), 0x00000001(s=1,f=1.401298e-45)]
0x0000b7fc t=  7484 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b804 t=  7484 op=0x08 size=16 diff=0xff  set_enemy_field args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x0000b814 t=  7484 op=0x0a size=12 diff=0xff  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b820 t=  7484 op=0x00 size=32 diff=0xfe  spawn_enemy sub=60 pos=(192,160) rest=[0x0000ea60, 0xfffffffe, 0x000186a0]
0x0000b840 t=  7485 op=0x0a size=12 diff=0xfe  wait_enemy_inactive args=[0x00000000(s=0,f=0)]
0x0000b84c t=  7485 op=0x06 size=12 diff=0xff  engine_event_06 args=[0x0000000a(s=10,f=1.401298e-44)]
0x0000b858 t=  7485 op=0x07 size= 8 diff=0xff  conditional_timeline_stop args=[]
0x0000b860 stop (negative time); 24 bytes remain in timeline region

## sub 0 [0x000001b0, 0x0000032c)
0x000001b0 t=     0 op=0x0037 size=16 b08=0x00 diff=0xff pmask=0x0000  set_primary_animation_sequence args=[0x0000004d(s=77,f=1.079e-43)]
0x000001c0 t=     0 op=0x004d size=20 b08=0x00 diff=0xff pmask=0x0000  set_hitbox args=[0x41c00000(s=1103101952,f=24), 0x41c00000(s=1103101952,f=24)]
0x000001d4 t=     0 op=0x0050 size=16 b08=0x00 diff=0xff pmask=0x0000  clear_enemy_flags args=[0x00000002(s=2,f=2.802597e-45)]
0x000001e4 t=     0 op=0x00a0 size=16 b08=0x00 diff=0xff pmask=0x0000  set_timer_current_alt args=[0x0000001e(s=30,f=4.203895e-44)]
0x000001f4 t=     0 op=0x0042 size=28 b08=0x00 diff=0xff pmask=0x0000  set_velocity_polar_timed args=[0x00000032(s=50,f=7.006492e-44), 0x00000004(s=4,f=5.605194e-45), 0x00000000(s=0,f=0), 0x40200000(s=1075838976,f=2.5)]
0x00000210 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000004(s=4,f=5.605194e-45)]
0x00000224 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x00000008(s=8,f=1.121039e-44)]
0x00000238 t=     0 op=0x0006 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x0000000a(s=10,f=1.401298e-44)]
0x0000024c t=     0 op=0x0006 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_int args=[0x00002710(s=10000,f=1.401298e-41), 0x0000000c(s=12,f=1.681558e-44)]
0x00000260 t=     0 op=0x0007 size=20 b08=0x00 diff=0xf1 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40400000(s=1077936128,f=3)]
0x00000274 t=     0 op=0x0007 size=20 b08=0x00 diff=0xf2 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40800000(s=1082130432,f=4)]
0x00000288 t=     0 op=0x0007 size=20 b08=0x00 diff=0xf4 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40a00000(s=1084227584,f=5)]
0x0000029c t=     0 op=0x0007 size=20 b08=0x00 diff=0xf8 pmask=0x0001  set_float args=[0x461c8000(s=1176272896,f=10016), 0x40b00000(s=1085276160,f=5.5)]
0x000002b0 t=    50 op=0x0060 size=44 b08=0x00 diff=0xff pmask=0x0018  fire mode=0 type=1 color=6 count=(1,$i32(10000)) speed=($f(10016),1) angle=(0,0) flags=0x00000202
0x000002dc t=    80 op=0x0041 size=20 b08=0x00 diff=0xff pmask=0x0000  set_velocity_polar args=[0x00000000(s=0,f=0), 0x00000000(s=0,f=0)]
0x000002f0 t=    80 op=0x0047 size=16 b08=0x00 diff=0xff pmask=0x0000  set_speed_acceleration args=[0x3d888889(s=1032358025,f=0.06666667)]
0x00000300 t=    80 op=0x0087 size=20 b08=0x00 diff=0xff pmask=0x0000  start_interrupt_subroutine args=[0x00000000(s=0,f=0), 0x00000001(s=1,f=1.401298e-45)]
0x00000314 t=  5080 op=0x0001 size=12 b08=0x00 diff=0xff pmask=0x0000  terminate args=[]
0x00000320 sub-footer

## sub 1 [0x0000032c, 0x00000378)
0x0000032c t=     0 op=0x0060 size=44 b08=0x00 diff=0xff pmask=0x0000  fire mode=0 type=2 color=6 count=(1,1) speed=(2,0.5) angle=(0,0.2855993) flags=0x00000203
